route,carrier,parameter,source_value,effective_value,units,admission,scope,reason,source,implementation
wholesale_overlay,CCGT,enabled,true,true,boolean; carrier selection,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L351,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,CCGT,p_min_pu,0.35,0.35,fraction of p_nom while status=1,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L352,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,CCGT,min_up_time,4,4,PyPSA snapshot count; hours only at 60-minute resolution,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L353,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,CCGT,min_down_time,3,3,PyPSA snapshot count; hours only at 60-minute resolution,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L354,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,CCGT,ramp_limit_up,0.50,0.50,fraction of p_nom per snapshot; no snapshot-weight scaling,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L355,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,CCGT,ramp_limit_down,0.50,0.50,fraction of p_nom per snapshot; no snapshot-weight scaling,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L356,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,CCGT,start_up_cost_per_mw,45.0,45.0,model currency/MW per transition; multiplied by p_nom to get currency,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L357,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,CCGT,shut_down_cost_per_mw,0.0,0.0,model currency/MW per transition; multiplied by p_nom to get currency,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L358,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,OCGT,enabled,true,true,boolean; carrier selection,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L360,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,OCGT,p_min_pu,0.20,0.20,fraction of p_nom while status=1,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L361,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,OCGT,min_up_time,1,1,PyPSA snapshot count; hours only at 60-minute resolution,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L362,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,OCGT,min_down_time,1,1,PyPSA snapshot count; hours only at 60-minute resolution,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L363,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,OCGT,ramp_limit_up,1.0,1.0,fraction of p_nom per snapshot; no snapshot-weight scaling,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L364,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,OCGT,ramp_limit_down,1.0,1.0,fraction of p_nom per snapshot; no snapshot-weight scaling,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L365,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,OCGT,start_up_cost_per_mw,20.0,20.0,model currency/MW per transition; multiplied by p_nom to get currency,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L366,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,OCGT,shut_down_cost_per_mw,0.0,0.0,model currency/MW per transition; multiplied by p_nom to get currency,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L367,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,coal,enabled,true,true,boolean; carrier selection,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L369,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,coal,p_min_pu,0.40,0.40,fraction of p_nom while status=1,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L370,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,coal,min_up_time,8,8,PyPSA snapshot count; hours only at 60-minute resolution,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L371,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
wholesale_overlay,coal,min_down_time,6,6,PyPSA snapshot count; hours only at 60-minute resolution,KEEP,upstream-defined optional sensitivity; not observed 2020 plant parameter,Exact pinned configuration and assignment recovered; no individual literature calibration established.,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/config/defaults.yaml#L372,https://github.com/andrewlyden/PyPSA-GB/blob/8e084afe4fb2d4be86f270d3f12ad3315eee2a3a/scripts/market/solve_wholesale.py#L376-L420
